"""course code""","""course name""","""prerequisites""","""restrictions"""
"""ANTH*3770""","""Kinship, Family, and Power""","""ANTH*2230 AND (ANTH*2160 OR ANTH*2180) AND SOAN*2120""","""{}"""
"""ANTH*3840""","""Seminar in Anthropology""","""10.00 credits AND ANTH*2160 AND ANTH*2180 AND SOAN*2120""","""{}"""
"""ANTH*3850""","""Seminar in Anthropology""","""10.00 credits AND ANTH*2160 AND ANTH*2180 AND SOAN*2120""","""{}"""
"""ANTH*3950""","""Special Projects in Anthropology""","""10.00 credits""","""{}"""
"""ANTH*4300""","""Anthropological Issues""","""12.50 credits AND ANTH*3690 AND SOAN*3070""","""{}"""
"""ANTH*4440""","""Culture, Rights and Development""","""12.50 credits AND (ANTH*3690 OR IDEV*2300 OR ONEH*3000 OR (IDEV*2100 OR SOAN*3070))""","""{}"""
"""ANTH*4540""","""Seminar in Anthropology""","""12.50 credits AND (ANTH*3690 OR SOC*3310) AND SOAN*3070""","""{}"""
"""ANTH*4550""","""Topics in the Anthropology of Health""","""12.50 credits AND (ANTH*3690 OR IDEV*2300 OR ONEH*3000 OR (IDEV*2100 OR SOAN*3070))""","""{}"""
"""ANTH*4640""","""Seminar in Anthropology""","""12.50 credits AND (ANTH*3690 OR SOC*3310) AND SOAN*3070""","""{}"""
"""ANTH*4700""","""Issues in Contemporary Anthropological Theory""","""12.50 credits AND ANTH*3690 AND SOAN*3070""","""{}"""
"""ANTH*4740""","""Seminar in Anthropology""","""12.50 credits AND (ANTH*3690 OR SOC*3310) AND SOAN*3070""","""{}"""
"""ANTH*4840""","""Seminar in Anthropology""","""12.50 credits AND (ANTH*3690 OR SOC*3310) AND SOAN*3070""","""{}"""
"""ANTH*4880""","""Special Projects in Anthropology""","""12.50 credits""","""{}"""
"""ANTH*4890""","""Special Projects in Anthropology""","""12.50 credits""","""{}"""
"""ANTH*4900""","""Honours Anthropology Thesis I""","""15.00 credits AND ANTH*3690 AND (SOAN*3070 OR SOAN*3120)""","""{}"""
"""ANTH*4910""","""Honours Anthropology Thesis II""","""ANTH*4900""","""{}"""
"""ARTH*2050""","""Modern Latin American Art""","""2.00 credits OR (ARTH*1510 OR ARTH*1520)""","""{}"""
"""ARTH*2060""","""Indigenous Arts in the Americas""","""2.00 credits OR (ARTH*1510 OR ARTH*1520)""","""{}"""
"""ARTH*2070""","""Art of the USA""","""2.00 credits,ARTH*1510 OR ARTH*1520""","""{}"""
"""ARTH*2120""","""Introduction to Museology""","""2.00 credits OR (ARTH*1510 OR ARTH*1520)""","""{}"""
"""ARTH*2150""","""Art and Archaeology of Greece""","""2.00 credits OR (ARTH*1510 OR ARTH*1520)""","""{}"""
"""ARTH*2220""","""The Visual Arts Today""","""2.00 credits OR (ARTH*1510 OR ARTH*1520)""","""{ARTH*1220}"""
"""ARAB*1100""","""Introductory Arabic I""","""()""","""{}"""
"""ARAB*1110""","""Introductory Arabic II""","""ARAB*1100""","""{}"""
"""ARTH*1510""","""Art Historical Studies I""","""()""","""{}"""
"""ARTH*1520""","""Art Historical Studies II""","""()""","""{}"""
"""ARTH*2280""","""Modern Architecture""","""2.00 credits OR (ARTH*1510 OR ARTH*1520)""","""{}"""
"""ARTH*2290""","""History of Photographic Media""","""2.00 credits""","""{}"""
"""ARTH*2480""","""Introduction to Art Theory and Criticism""","""2.00 credits OR (ARTH*1510 OR ARTH*1520)""","""{}"""
"""ARTH*2490""","""History of Canadian Art""","""2.00 credits OR (ARTH*1510 OR ARTH*1520)""","""{}"""
"""ARTH*2540""","""Medieval Art""","""2.00 credits OR (ARTH*1510 OR ARTH*1520)""","""{}"""
"""ARTH*2550""","""The Italian Renaissance""","""2.00 credits OR (ARTH*1510 OR ARTH*1520)""","""{}"""
"""ARTH*2580""","""Late Modern Art: 1900-1950""","""2.00 credits OR (ARTH*1510 OR ARTH*1520)""","""{}"""
"""ARTH*2600""","""Early Modern Art""","""2.00 credits OR (ARTH*1510 OR ARTH*1520)""","""{}"""
"""ARTH*2950""","""Baroque Art""","""2.00 credits OR (ARTH*1510 OR ARTH*1520)""","""{}"""
"""ARTH*3010""","""Contemporary Canadian Art""","""7.50 credits OR 1.50 credits in Art History.""","""{}"""
"""ARTH*3060""","""Public Art""","""7.50 credits OR 1.50 credits in Art History.""","""{}"""
"""ARTH*3150""","""Space: Roman Art and Urbanism""","""()""","""{ARTH*3530,ARTH*4500}"""
"""ARTH*3200""","""Colour: Practice and Meaning in Western Art""","""7.50 credits OR 1.50 credits in Art History.""","""{}"""
"""ARTH*3210""","""Critical Issues in Art History""","""7.50 credits OR 1.50 credits in Art History AND including ARTH*2480.""","""{}"""
"""ARTH*3220""","""Nationalism and Identity in Art""","""7.50 credits OR 1.50 credits in Art History.""","""{}"""
"""ARTH*3320""","""Lives: Aspects of Western Art""","""7.50 credits OR 1.50 credits in Art History.""","""{}"""
"""ARTH*3330""","""Display: Visual Culture in Western Europe""","""7.50 credits OR 1.50 credits in Art History.""","""{}"""
"""ARTH*3340""","""Studies in Renaissance and Baroque Art""","""7.50 credits OR 1.50 credits in Art History.""","""{}"""
"""ARTH*3520""","""Idea: Art Since 1950""","""7.50 credits OR 1.50 credits in Art History.""","""{}"""
"""ARTH*3600""","""Topics in the Long Eighteenth Century""","""7.50 credits OR 1.50 credits in Art History.""","""{ARTH*3310}"""
"""ARTH*3620""","""Museum Studies""","""7.50 credits OR 1.50 credits in Art History.""","""{ARTH*4620}"""
"""ARTH*3780""","""Gender and Art""","""10.00 credits AND 2.00 credits in Art History.""","""{}"""
"""ARTH*4310""","""Topics in Art and Visual Culture I""","""10.00 credits AND 1.00 credits in Art History at the 3000 level.""","""{}"""
"""ARTH*4320""","""Topics in Art and Visual Culture II""","""10.00 credits AND 1.00 credits in Art History at the 3000 level.""","""{}"""
"""ARTH*4330""","""Topics in Art and Visual Culture III""","""10.00 credits AND 1.00 credits in Art History at the 3000 level.""","""{}"""
"""ARTH*4340""","""Topics in Art and Visual Culture IV""","""10.00 credits AND 1.00 credits in Art History at the 3000 level.""","""{}"""
"""ARTH*4350""","""Topics in Art and Visual Culture V""","""10.00 credits AND 1.00 credits in Art History at the 3000 level.""","""{}"""
"""ARTH*4600""","""Individual Study - Art History""","""14.00 credits AND including 6 credits in Art History.""","""{}"""
"""ARTH*4800""","""Experiential Learning""","""A minimum of 14.00 credits AND 2.50 credits in Art History.""","""{}"""
"""ASCI*1110""","""Society and Inquiry I""","""()""","""{}"""
"""ASCI*1120""","""Society and Inquiry II""","""ASCI*1110""","""{}"""
"""ASCI*2050""","""Uses of Knowledge""","""ASCI*1120""","""{}"""
"""ASCI*3000""","""Arts and Sciences Community Project""","""ASCI*2050""","""{}"""
"""ASCI*3100""","""Science Communication Research""","""ASCI*2050""","""{}"""
"""ASCI*3200""","""Issues in Public Health""","""ASCI*2050""","""{}"""
"""ASCI*3700""","""Independent Studies in Arts/Sciences""","""A minimum of 9.00 credits.""","""{}"""
"""ASCI*4010""","""Arts and Sciences Honours Research Seminar""","""12.00 credits AND including (ASCI*3000 OR ASCI*3100 OR ASCI*3200 OR ASCI*3700; cumulative average of 75%)""","""{}"""
"""ASCI*4020""","""Advanced Topics in Arts and Sciences Research""","""12.00 credits AND ASCI*2050""","""{}"""
"""ASCI*4030""","""Advanced Topics in Arts and Sciences Research""","""12.00 credits AND ASCI*2050""","""{}"""
"""ASCI*4700""","""Independent Studies in Arts/Sciences""","""A minimum of 14.00 credits.""","""{}"""
"""ASCI*4710""","""Independent Studies in Arts/Sciences""","""ASCI*4700""","""{}"""
"""BIOC*2580""","""Introduction to Biochemistry""","""CHEM*1050""","""{}"""
"""BIOC*3560""","""Structure and Function in Biochemistry""","""BIOC*2580""","""{}"""
"""BIOC*3570""","""Analytical Biochemistry""","""BIOC*2580 AND (CHEM*2400 OR CHEM*2480)""","""{}"""
"""BIOC*4050""","""Protein and Nucleic Acid Structure""","""BIOC*3560""","""{}"""
"""BIOC*4520""","""Metabolic Processes""","""BIOC*3560 OR BIOC*3570""","""{}"""
"""BIOC*4540""","""Enzymology""","""BIOC*3560 may be taken concurrently AND BIOC*3570""","""{}"""
"""BIOC*4580""","""Membrane Biochemistry""","""BIOC*3560 OR BIOC*3570""","""{}"""
"""BIOL*1020""","""Introduction to Biology""","""()""","""{BIOL*1050,BIOL*1070,BIOL*1080,BIOL*1090}"""
"""BIOL*1050""","""Biology of Plants & Animals in Managed Ecosystems""","""()""","""{}"""
"""BIOL*1070""","""Discovering Biodiversity""","""()""","""{}"""
"""BIOL*1080""","""Biological Concepts of Health""","""()""","""{}"""
"""BIOL*1090""","""Introduction to Molecular and Cellular Biology""","""()""","""{}"""
"""BIOL*1500""","""Humans in the Natural World""","""()""","""{}"""
"""BIOL*2060""","""Ecology""","""4.00 credits AND BIOL*1070""","""{}"""
"""BIOL*2300""","""Field Course in Biodiversity""","""BIOL*1070""","""{}"""
"""BIOL*2400""","""Evolution""","""BIOL*1070 AND BIOL*1090""","""{}"""
"""BIOL*3010""","""Laboratory and Field Work in Ecology""","""BIOL*2060 AND (STAT*2040 OR STAT*2230)""","""{}"""
"""BIOL*3020""","""Population Genetics""","""MBG*2040""","""{}"""
"""BIOL*3040""","""Methods in Evolutionary Biology""","""BIOL*2400""","""{}"""
"""BIOL*3060""","""Populations, Communities and Ecosystems""","""10.00 credits AND BIOL*2060 AND (GEOG*2460 OR STAT*2040 OR STAT*2060 OR STAT*2230)""","""{}"""
"""BIOL*3130""","""Conservation Biology""","""BIOL*2060""","""{}"""
"""BIOL*3300""","""Applied Bioinformatics""","""MBG*2040 AND (STAT*2040 OR STAT*2230)""","""{}"""
"""BIOL*3450""","""Introduction to Aquatic Environments""","""BIOL*1070 AND CHEM*1050 AND ZOO*2700 is strongly recommended""","""{}"""
"""BIOL*3650""","""Applications in Biology""","""9.00 credits AND (2 of BIOL*1070 OR BIOL*1080 OR BIOL*1090)""","""{}"""
"""BIOL*3660""","""Internship In Biological Science""","""7.50 credits AND minimum cumulative average of 60%""","""{}"""
"""BIOL*3670""","""Introduction to Wildlife Rehabilitation""","""ANSC*2340 OR BIOL*2060 OR BIOL*2400 OR ZOO*2090""","""{}"""
"""BIOL*3680""","""Wildlife Rehabilitation: Caring for Sick, Injured, and Orphaned Wildlife""","""BIOL*3670""","""{}"""
"""BIOL*4010""","""Adaptational Physiology""","""()""","""{}"""
"""BIOL*4020""","""Integrative Problems in Biological Science""","""14.00 credits""","""{}"""
"""BIOL*4110""","""Ecological Methods""","""BIOL*3010 AND BIOL*3060 AND (STAT*2040 OR STAT*2230)""","""{}"""
"""BIOL*4120""","""Evolutionary Ecology""","""BIOL*2060 AND BIOL*2400""","""{}"""
"""BIOL*4150""","""Wildlife Conservation and Management""","""BIOL*3060 OR BIOL*3130""","""{}"""
"""BIOL*4350""","""Limnology of Natural and Polluted Waters""","""BIOL*3450""","""{}"""
"""BIOL*4410""","""Field Ecology""","""0.50 credits in Ecology""","""{}"""
"""BIOL*4500""","""Natural Resource Policy Analysis""","""15.00 credits AND BIOL*4150""","""{}"""
"""BIOL*4610""","""Arctic Ecology""","""BIOL*2060""","""{}"""
"""BIOL*4700""","""Field Biology""","""BIOL*2060""","""{}"""
"""BIOL*4710""","""Field Biology""","""BIOL*2060""","""{}"""
"""BIOL*4800""","""Field Biology""","""BIOL*2060""","""{}"""
"""BIOL*4810""","""Field Biology""","""BIOL*2060""","""{}"""
"""BIOL*4900""","""Field Biology""","""BIOL*2060""","""{}"""
"""BIOM*2000""","""Concepts in Human Physiology""","""()""","""{ANSC*3080,BIOM*3200,ZOO*3200,ZOO*3210,ZOO*3600,ZOO*3620}"""
"""BIOM*3000""","""Functional Mammalian Neuroanatomy""","""BIOM*3200 OR HK*3810 OR HK*3940 OR NEUR*2000 OR PHYS*2030 OR PSYC*2410 OR ZOO*3200 OR ZOO*3600""","""{}"""
"""BIOM*3010""","""Biomedical Comparative Anatomy""","""BIOL*1070 OR BIOL*1080 OR BIOL*1090""","""{}"""
"""BIOM*3040""","""Medical Embryology""","""BIOL*1070 AND BIOL*1090 AND (BIOL*1080 OR BIOM*3200 OR HK*3810 OR HK*3940 OR 1of BIOM*3010 OR HK*3401 OR HK*3501 OR ZOO*2090)""","""{}"""
"""BIOM*3090""","""Principles of Pharmacology""","""BIOC*2580 AND (ANSC*3080 OR BIOM*3200 OR HK*3810 OR HK*3940 OR ZOO*3200 OR ZOO*3600)""","""{}"""
"""BIOM*3200""","""Biomedical Physiology""","""BIOC*2580""","""{}"""
"""BIOM*3210""","""Critical Thinking in the Health Sciences""","""7.50 credits AND (BIOL*1070 OR BIOL*1080 OR BIOL*1090)""","""{}"""
"""BIOM*4030""","""Endocrine Physiology""","""BIOC*2580 AND [(BIOM*3200 OR HK*3810 OR HK*3940 OR ZOO*3200 OR ZOO*3210 OR ZOO*3600])""","""{}"""
"""BIOM*4050""","""Biomedical Aspects of Aging""","""BIOM*3200 OR HK*3810 OR HK*3940""","""{}"""
"""BIOM*4070""","""Biomedical Histology""","""(MCB*2050 OR MCB*2210) AND 1of ANSC*3080 AND BIOM*3200 AND HK*3810 AND HK*3940""","""{ZOO*3000}"""
"""BIOM*4090""","""Pharmacology""","""BIOM*3090""","""{}"""
"""BIOM*4110""","""Mammalian Reproductive Biology""","""(BIOM*3010 OR HK*3401 OR HK*3501 OR ZOO*2090 OR (1 of BIOM*3200 OR HK*3810 OR ZOO*3210 OR ZOO*3620))""","""{}"""
"""BIOM*4150""","""Cancer Biology""","""MBG*2040 AND MCB*2050 AND (BIOM*3040 OR BIOM*4070 OR ZOO*3000)""","""{}"""
"""BIOM*4180""","""Cardiology""","""1of BIOM*3200 AND HK*3810 AND HK*3940 AND (BIOM*3010 OR HK*3401 OR HK*3501 OR ZOO*2090)""","""{}"""
"""BIOM*4300""","""Biomedical Communications""","""14.00 credits AND BIOL*1080 AND STAT*2040""","""{}"""
"""BIOM*4500""","""Literature-based Research in Biomedical Sciences""","""12.00 credits""","""{}"""
"""BIOM*4510""","""Research in Biomedical Sciences""","""14.00 credits""","""{BIOM*4521,BIOM*4522}"""
"""BIOM*4521""","""Research in Biomedical Sciences""","""14.00 credits""","""{BIOM*4510}"""
"""BIOM*4522""","""Research in Biomedical Sciences""","""BIOM*4521""","""{}"""
"""BLCK*1000""","""Introduction to Black Studies in Canada""","""()""","""{}"""
"""BLCK*2000""","""Black Canadian History""","""2.00 credits""","""{}"""
"""BLCK*2020""","""Black Canadian Studies: Research Methodologies""","""BLCK*1000 OR BLCK*2000""","""{}"""
"""BLCK*3000""","""Theorising Race and Racism""","""BLCK*2020""","""{}"""
"""BLCK*3010""","""Experiential Learning in Black Studies""","""BLCK*2020""","""{}"""
"""BOT*2100""","""Life Strategies of Plants""","""2 of BIOL*1050 OR BIOL*1070 OR BIOL*1080 OR BIOL*1090""","""{}"""
"""BOT*3050""","""Plant Functional Ecology""","""7.50 credits AND BIOL*1070""","""{}"""
"""BOT*3310""","""Plant Growth and Development""","""BIOL*1090 AND (BIOL*1070 OR BIOL*1080)""","""{}"""
"""BOT*3410""","""Plant Anatomy""","""2 of BIOL*1070 OR BIOL*1080 OR BIOL*1090""","""{}"""
"""BOT*3710""","""Plant Diversity and Evolution""","""7.50 credits AND BIOL*1070""","""{}"""
"""BOT*1200""","""Plants and Human Use""","""()""","""{BIOL*1050}"""
"""BOT*2000""","""Plants, Biology and People""","""BIOL*1050 OR BIOL*1070""","""{BOT*1200}"""
"""BOT*4380""","""Metabolism in the Whole Life of Plants""","""BIOL*1090 AND BIOC*2580""","""{}"""
"""BUS*4550""","""Applied Business Project I""","""10.00 credits""","""{AGEC*4550,FARE*4550}"""
"""BUS*4560""","""Applied Business Project II""","""BUS*4550""","""{AGEC*4560,FARE*4560}"""
"""CHEM*1060""","""Introductory Chemistry""","""()""","""{CHEM*1040}"""
"""CHEM*2060""","""Structure and Bonding""","""CHEM*1050 AND [IPS*1510 OR (MATH*1090 OR MATH*1210) AND (PHYS*1010 OR PHYS*1070 OR PHYS*1300])""","""{}"""
"""CHEM*2070""","""Structure and Spectroscopy""","""CHEM*2060""","""{}"""
"""CHEM*2400""","""Analytical Chemistry I""","""CHEM*1050""","""{CHEM*2480}"""
"""CHEM*1040""","""General Chemistry I""","""4U Chemistry (or equivalent) OR CHEM*1060""","""{}"""
"""CHEM*1050""","""General Chemistry II""","""CHEM*1040""","""{}"""
"""CHEM*2480""","""Analytical Chemistry I""","""CHEM*1050""","""{CHEM*2400}"""
"""CHEM*2700""","""Organic Chemistry I""","""CHEM*1050""","""{CHEM*2720}"""
"""CHEM*2720""","""Fundamental Organic Chemistry""","""CHEM*1050""","""{CHEM*2700}"""
"""CHEM*2820""","""Thermodynamics and Kinetics""","""CHEM*1050 AND (IPS*1510 OR MATH*1090 OR MATH*1210 OR MATH*2080)""","""{CHEM*2880,PHYS*2240}"""
"""CHEM*2880""","""Physical Chemistry""","""CHEM*1050 AND (IPS*1500 OR MATH*1000 OR MATH*1080 OR MATH*1200)""","""{CHEM*2820}"""
"""CHEM*3360""","""Environmental Chemistry and Toxicology""","""CHEM*1050""","""{}"""
"""CHEM*3430""","""Analytical Chemistry II: Instrumental Analysis""","""(CHEM*2400 OR CHEM*2480)""","""{TOX*3300}"""
"""CHEM*3440""","""Analytical Chemistry III: Analytical Instrumentation""","""CHEM*3430""","""{}"""
"""CHEM*3640""","""Chemistry of the Elements I""","""CHEM*2070""","""{}"""
"""CHEM*3650""","""Chemistry of the Elements II""","""CHEM*3640""","""{}"""
"""CHEM*3750""","""Organic Chemistry II""","""CHEM*2700""","""{}"""
"""CHEM*3760""","""Organic Chemistry III""","""CHEM*3750""","""{}"""
"""CHEM*3860""","""Quantum Chemistry""","""CHEM*2070 AND (MATH*2170 OR MATH*2270)""","""{}"""
"""CHEM*3870""","""Molecular Spectroscopy""","""CHEM*3860 AND MATH*1160""","""{}"""
"""CHEM*4010""","""Chemistry and Industry""","""CHEM*2060 AND (CHEM*2700 OR CHEM*2720) AND (IPS*1510 OR MATH*1090 OR MATH*1210 OR MATH*2080)""","""{}"""
"""CHEM*4400""","""Advanced Topics in Analytical Chemistry""","""CHEM*3430""","""{}"""
"""CHEM*4620""","""Advanced Topics in Inorganic Chemistry""","""CHEM*2070 AND (CHEM*3430 OR CHEM*3640 OR CHEM*3650 OR NANO*3200 OR NANO*3300 OR NANO*3500 OR TOX*3300 OR TOX*3360)""","""{}"""
"""CHEM*4630""","""Bioinorganic Chemistry""","""BIOC*2580 AND CHEM*3650""","""{}"""
"""CHEM*4720""","""Organic Reactivity""","""()""","""{}"""
"""CHEM*4730""","""Synthetic Organic Chemistry""","""CHEM*3750""","""{}"""
"""CHEM*4740""","""Topics in Bio-Organic Chemistry""","""BIOC*2580 AND CHEM*3750""","""{}"""
"""CHEM*4880""","""Topics in Advanced Physical Chemistry""","""(CHEM*2820 OR PHYS*3240) AND CHEM*3860""","""{}"""
"""CHEM*4900""","""Chemistry Research Project I""","""5.00 credits in chemistry including 1.50 credits from CHEM*3430 AND CHEM*3640 AND CHEM*3650 AND CHEM*3750 AND CHEM*3760 AND CHEM*3870""","""{}"""
"""CHEM*4910""","""Chemistry Research Project II""","""CHEM*4900""","""{}"""
"""CHIN*1210""","""Introductory Chinese II""","""CHIN*1200""","""{}"""
"""CHIN*1280""","""Conversational Chinese I""","""()""","""{}"""
"""CHIN*1290""","""Conversational Chinese II""","""CHIN*1280""","""{}"""
"""CHIN*2200""","""Intermediate Chinese I""","""CHIN*1210""","""{}"""
"""CHIN*2210""","""Intermediate Chinese II""","""CHIN*2200""","""{}"""
"""CLAS*1000""","""Introduction to Classical Culture""","""()""","""{}"""
"""CLAS*2000""","""Classical Mythology""","""()""","""{}"""
"""CHIN*1200""","""Introductory Chinese I""","""()""","""{}"""
"""CLAS*2150""","""Western Art: Greece""","""()""","""{}"""
"""CLAS*2350""","""The Classical Tradition""","""CLAS*1000 OR CLAS*2000""","""{}"""
"""CLAS*2360""","""The Classical Tradition (in Latin)""","""LAT*2000""","""{}"""
"""CLAS*3000""","""The Rise and Fall of Athens""","""CLAS*1000 OR CLAS*2000 OR HIST*2850""","""{}"""
"""CLAS*3010""","""The Roman Revolution""","""CLAS*1000 OR CLAS*2000 OR HIST*2850""","""{}"""
"""CLAS*3020""","""History of the Hellenistic World""","""CLAS*1000 OR CLAS*2000 OR HIST*2850""","""{}"""
"""CLAS*3030""","""Epic Heroes and Poems""","""CLAS*1000 OR CLAS*2000""","""{}"""
"""CLAS*3040""","""Greek Tragedy and Comedy""","""CLAS*1000 OR CLAS*2000""","""{}"""
"""CLAS*3050""","""The Rise and Fall of Athens (in Greek)""","""GREK*2020""","""{}"""
